hour,timestamp_utc,total_gen_MW,co2_emissions_g,carbon_intensity_g_per_kwh,gen_Coal_MW,gen_NaturalGas_MW,gen_Nuclear_MW,gen_Petroleum_MW,gen_Hydro_MW,gen_Solar_MW,gen_Wind_MW,gen_Geothermal_MW,gen_BatteryStorage_MW,gen_Other_MW,gen_Unknown_MW
0,2022-01-01 07:00:00,37963.0,15154347000.0,399.1872876221584,10957.0,9739.0,5099.0,0.0,33.0,0.0,12067.0,0,0,68.0,0.0
1,2022-01-01 08:00:00,36758.0,13847586000.0,376.72305348495564,10128.0,8564.0,5099.0,0.0,8.0,0.0,12886.0,0,0,73.0,0.0
2,2022-01-01 09:00:00,35826.0,12172976000.0,339.780494612851,8944.0,7351.0,5099.0,0.0,7.0,0.0,14370.0,0,0,55.0,0.0
3,2022-01-01 10:00:00,35033.0,9973074000.0,284.67656209859274,7165.0,6259.0,5099.0,0.0,7.0,0.0,16468.0,0,0,35.0,0.0
4,2022-01-01 11:00:00,34583.0,8143102000.0,235.4654599080473,5609.0,5454.0,5100.0,0.0,6.0,0.0,18338.0,0,0,76.0,0.0
5,2022-01-01 12:00:00,34330.0,8124877000.0,236.66988057092922,5642.0,5356.0,5100.0,0.0,6.0,0.0,18163.0,0,0,63.0,0.0
6,2022-01-01 13:00:00,34387.0,7920351000.0,230.32980486811877,5531.0,5127.0,5101.0,0.0,30.0,0.0,18539.0,0,0,59.0,0.0
7,2022-01-01 14:00:00,34407.0,8098863000.0,235.38416601272996,5665.0,5207.0,5101.0,0.0,30.0,8.0,18307.0,0,0,89.0,0.0
8,2022-01-01 15:00:00,35476.0,8468666000.0,238.71535686097644,5676.0,5936.0,5101.0,0.0,30.0,1349.0,17297.0,0,0,87.0,0.0
9,2022-01-01 16:00:00,37732.0,8734809000.0,231.4960510972119,5582.0,6469.0,5102.0,0.0,30.0,3459.0,16918.0,0,0,172.0,0.0
10,2022-01-01 17:00:00,39922.0,9757914000.0,244.4244777315766,6201.0,7492.0,5102.0,0.0,68.0,3242.0,17692.0,0,0,125.0,0.0
11,2022-01-01 18:00:00,41712.0,11557516000.0,277.0789221327196,7720.0,8260.0,5101.0,0.0,25.0,2691.0,17781.0,0,0,134.0,0.0
12,2022-01-01 19:00:00,42966.0,13115521000.0,305.253479495415,9090.0,8689.0,5101.0,0.0,6.0,3593.0,16336.0,0,0,151.0,0.0
13,2022-01-01 20:00:00,43809.0,13972652000.0,318.94478303544935,9676.0,9308.0,5101.0,0.0,6.0,4743.0,14857.0,0,0,118.0,0.0
14,2022-01-01 21:00:00,43904.0,14350701000.0,326.8654564504373,9895.0,9688.0,5100.0,0.0,6.0,5070.0,14037.0,0,0,108.0,0.0
15,2022-01-01 22:00:00,43873.0,14311289000.0,326.1980945000342,9773.0,9907.0,5099.0,0.0,6.0,4630.0,14347.0,0,0,111.0,0.0
16,2022-01-01 23:00:00,44118.0,13987862000.0,317.0556688879822,9092.0,10919.0,5099.0,0.0,6.0,2008.0,16896.0,0,0,98.0,0.0
17,2022-01-02 00:00:00,44802.0,14034884000.0,313.26467568412124,8836.0,11692.0,5100.0,0.0,6.0,231.0,18797.0,0,0,140.0,0.0
18,2022-01-02 01:00:00,46139.0,14459593000.0,313.3919894232645,9214.0,11856.0,5100.0,0.0,6.0,0.0,19859.0,0,0,104.0,0.0
19,2022-01-02 02:00:00,45795.0,13579134000.0,296.520013101867,8328.0,11801.0,5101.0,0.0,7.0,0.0,20444.0,0,0,114.0,0.0
20,2022-01-02 03:00:00,45541.0,12926710000.0,283.8477415954854,7656.0,11793.0,5101.0,0.0,7.0,0.0,20860.0,0,0,124.0,0.0
21,2022-01-02 04:00:00,45299.0,12061270000.0,266.2590785668558,6671.0,12041.0,5101.0,0.0,7.0,0.0,21380.0,0,0,99.0,0.0
22,2022-01-02 05:00:00,44587.0,11146573000.0,249.99603023302757,5851.0,11731.0,5102.0,0.0,7.0,0.0,21761.0,0,0,135.0,0.0
23,2022-01-02 06:00:00,43642.0,10693174000.0,245.0202557169699,5608.0,11273.0,5102.0,0.0,8.0,0.0,21548.0,0,0,103.0,0.0
24,2022-01-02 07:00:00,42661.0,10661183000.0,249.9046670260894,5678.0,11061.0,5103.0,0.0,30.0,0.0,20687.0,0,0,102.0,0.0
25,2022-01-02 08:00:00,42100.0,10693632000.0,254.0055106888361,5592.0,11354.0,5104.0,0.0,5.0,0.0,19944.0,0,0,101.0,0.0
26,2022-01-02 09:00:00,42301.0,10699435000.0,252.93574619985344,5463.0,11641.0,5105.0,0.0,7.0,0.0,19967.0,0,0,118.0,0.0
27,2022-01-02 10:00:00,43062.0,10948642000.0,254.25298406948122,5547.0,12046.0,5106.0,0.0,8.0,0.0,20258.0,0,0,97.0,0.0
28,2022-01-02 11:00:00,44145.0,11249181000.0,254.82344546381245,5619.0,12566.0,5106.0,0.0,8.0,0.0,20747.0,0,0,99.0,0.0
29,2022-01-02 12:00:00,45681.0,12186960000.0,266.7840021015302,5783.0,14381.0,5108.0,0.0,9.0,0.0,20298.0,0,0,102.0,0.0
30,2022-01-02 13:00:00,47366.0,13419889000.0,283.3232487438247,6449.0,15708.0,5109.0,0.0,33.0,0.0,19939.0,0,0,128.0,0.0
31,2022-01-02 14:00:00,49698.0,15386477000.0,309.59952110748924,7772.0,17263.0,5110.0,0.0,34.0,17.0,19360.0,0,0,142.0,0.0
32,2022-01-02 15:00:00,51758.0,16375445000.0,316.38481007766916,8201.0,18473.0,5111.0,0.0,34.0,1869.0,17960.0,0,0,110.0,0.0
33,2022-01-02 16:00:00,52890.0,16115513000.0,304.6986764983929,7724.0,18601.0,5112.0,0.0,33.0,5499.0,15770.0,0,0,151.0,0.0
34,2022-01-02 17:00:00,52822.0,17175288000.0,325.15406459429784,8122.0,20197.0,5113.0,0.0,45.0,6236.0,12994.0,0,0,115.0,0.0
35,2022-01-02 18:00:00,51759.0,17895688000.0,345.7502656542824,8505.0,21083.0,5113.0,0.0,9.0,6052.0,10890.0,0,0,107.0,0.0
36,2022-01-02 19:00:00,50320.0,17038797000.0,338.6088434022258,7895.0,20443.0,5115.0,0.0,9.0,6223.0,10502.0,0,0,133.0,0.0
37,2022-01-02 20:00:00,48752.0,16003648000.0,328.26649163111256,6740.0,20614.0,5116.0,0.0,9.0,6477.0,9619.0,0,0,177.0,0.0
38,2022-01-02 21:00:00,47317.0,15374886000.0,324.93366020669106,6231.0,20340.0,5117.0,0.0,9.0,6796.0,8678.0,0,0,146.0,0.0
39,2022-01-02 22:00:00,46120.0,15336327000.0,332.5309410234172,6305.0,20101.0,5116.0,0.0,9.0,6830.0,7609.0,0,0,150.0,0.0
40,2022-01-02 23:00:00,46125.0,16916120000.0,366.7451490514905,6902.0,22556.0,5117.0,0.0,11.0,5163.0,6173.0,0,0,203.0,0.0
41,2022-01-03 00:00:00,48547.0,21201025000.0,436.71133128720624,9033.0,28097.0,5119.0,0.0,54.0,951.0,5078.0,0,0,215.0,0.0
42,2022-01-03 01:00:00,51585.0,23386187000.0,453.35246680236503,9814.0,31549.0,5119.0,0.0,56.0,0.0,4875.0,0,0,172.0,0.0
43,2022-01-03 02:00:00,52137.0,23827791000.0,457.0226710397606,10137.0,31831.0,5118.0,0.0,55.0,0.0,4815.0,0,0,181.0,0.0
44,2022-01-03 03:00:00,52279.0,23869257000.0,456.5744754107768,10190.0,31813.0,5119.0,0.0,55.0,0.0,4929.0,0,0,173.0,0.0
45,2022-01-03 04:00:00,52128.0,23780913000.0,456.2022905156538,10184.0,31634.0,5119.0,0.0,55.0,0.0,4975.0,0,0,161.0,0.0
46,2022-01-03 05:00:00,50862.0,23189867000.0,455.9369863552357,10024.0,30684.0,5120.0,0.0,12.0,0.0,4909.0,0,0,113.0,0.0
47,2022-01-03 06:00:00,49788.0,22773569000.0,457.4108017996304,10061.0,29632.0,5121.0,0.0,9.0,0.0,4851.0,0,0,114.0,0.0
48,2022-01-03 07:00:00,48858.0,22188987000.0,454.15258504236766,9786.0,28907.0,5121.0,0.0,32.0,0.0,4907.0,0,0,105.0,0.0
49,2022-01-03 08:00:00,48622.0,21862175000.0,449.6354530870799,9441.0,28934.0,5122.0,0.0,13.0,0.0,5009.0,0,0,103.0,0.0
50,2022-01-03 09:00:00,48981.0,21987362000.0,448.89573508094975,9476.0,29139.0,5122.0,0.0,10.0,0.0,5128.0,0,0,106.0,0.0
51,2022-01-03 10:00:00,49778.0,22242786000.0,446.8396882156776,9443.0,29804.0,5121.0,0.0,10.0,0.0,5294.0,0,0,106.0,0.0
52,2022-01-03 11:00:00,51032.0,22607568000.0,443.0076814547735,9415.0,30683.0,5121.0,0.0,13.0,0.0,5674.0,0,0,126.0,0.0
