year,annual_mean_g_per_kwh,annual_min_g_per_kwh,annual_max_g_per_kwh,annual_std_g_per_kwh,q1_mean,q2_mean,q3_mean,q4_mean,hod_00_mean,hod_01_mean,hod_02_mean,hod_03_mean,hod_04_mean,hod_05_mean,hod_06_mean,hod_07_mean,hod_08_mean,hod_09_mean,hod_10_mean,hod_11_mean,hod_12_mean,hod_13_mean,hod_14_mean,hod_15_mean,hod_16_mean,hod_17_mean,hod_18_mean,hod_19_mean,hod_20_mean,hod_21_mean,hod_22_mean,hod_23_mean
2022,350.4690167342564,116.91026775835361,526.581609787508,70.93492570121167,336.80296721091395,320.4153980431941,389.0201564509368,355.0137874304836,371.9086418182507,386.71834595063456,386.1083628106888,375.597556785238,362.7120090656028,350.287635408237,338.988557640015,331.7684808936858,328.34157081843557,329.51266433570754,333.5252193799262,340.70959106450965,351.21936105351466,358.42298309846217,351.96623492742435,340.1502352178943,338.0603880697562,341.2430002864746,345.47149493590683,348.4123919235902,349.1681126164046,348.3004895366608,348.32996716484615,354.3331068202871
2023,332.5665870537784,135.93799384615386,507.38083344288157,74.63929048757338,280.93742020218684,338.84410120734583,372.98261095339524,336.4480765092551,359.83093582302575,376.45006629950717,374.97450642920506,361.8174441146001,347.85183641303684,335.2708627713689,322.748281838444,313.3499719920849,311.4215311543987,313.43628138125337,319.3462283815619,328.16367170717916,340.998558515445,348.4638645717645,337.7799771565835,318.0016379886887,312.7304841216395,315.71517812309753,318.49986693164294,320.291365062468,321.47860687125245,322.2728606019355,324.981932379588,335.72213866091084
2024,319.7124126293905,118.09269330292531,499.47827518104015,78.61471885939135,297.3356144477879,301.1191503189226,362.30382995862,317.64572904775224,344.4183780683582,372.5026659591038,375.7853482764243,362.2747933025007,347.36707991537463,334.49196992001055,324.6008693152059,319.0047664746076,316.90216841269444,317.8737830171143,322.45326546006555,330.9105797893973,342.30396024798034,345.4941624103932,322.25425693236184,291.0732731106571,278.0344099389551,277.9216769623478,280.9876410530809,284.1695470752718,286.18835817916755,289.46675994093704,295.00416928500005,311.61402005836067
