hour,timestamp_utc,total_gen_MW,co2_emissions_g,carbon_intensity_g_per_kwh,gen_Coal_MW,gen_NaturalGas_MW,gen_Nuclear_MW,gen_Petroleum_MW,gen_Hydro_MW,gen_Solar_MW,gen_Wind_MW,gen_Geothermal_MW,gen_BatteryStorage_MW,gen_Other_MW,gen_Unknown_MW
0,2023-01-01 07:00:00,36538.0,6459763000.0,176.79574689364497,3647.0,5866.0,5126.0,0.0,22.0,0.0,21753.0,0,0,124.0,0.0
1,2023-01-01 08:00:00,35921.0,6191081000.0,172.35269062665293,3487.0,5601.0,5126.0,0.0,5.0,0.0,21569.0,0,0,133.0,0.0
2,2023-01-01 09:00:00,35312.0,6142996000.0,173.96341187131853,3468.0,5538.0,5125.0,0.0,5.0,0.0,21036.0,0,0,140.0,0.0
3,2023-01-01 10:00:00,34903.0,6151193000.0,176.23679912901468,3469.0,5594.0,5124.0,0.0,5.0,0.0,20595.0,0,0,116.0,0.0
4,2023-01-01 11:00:00,34743.0,6159106000.0,177.27617073942952,3449.0,5647.0,5124.0,0.0,5.0,0.0,20388.0,0,0,130.0,0.0
5,2023-01-01 12:00:00,34820.0,6342695000.0,182.15666283744974,3467.0,6010.0,5124.0,0.0,5.0,0.0,20057.0,0,0,157.0,0.0
6,2023-01-01 13:00:00,35517.0,7010310000.0,197.37900160486527,3709.0,7019.0,5124.0,0.0,23.0,0.0,19480.0,0,0,162.0,0.0
7,2023-01-01 14:00:00,36049.0,8154202000.0,226.19773086632085,4219.0,8452.0,5123.0,0.0,25.0,42.0,17940.0,0,0,248.0,0.0
8,2023-01-01 15:00:00,36562.0,8789407000.0,240.3973250916252,4693.0,8887.0,5122.0,0.0,25.0,1256.0,16435.0,0,0,144.0,0.0
9,2023-01-01 16:00:00,37320.0,8713119000.0,233.47049839228296,4399.0,9005.0,5122.0,0.0,23.0,4564.0,13971.0,0,0,236.0,0.0
10,2023-01-01 17:00:00,37545.0,10030390000.0,267.15647889199624,4877.0,11039.0,5121.0,0.0,5.0,6095.0,10273.0,0,0,135.0,0.0
11,2023-01-01 18:00:00,37557.0,10482543000.0,279.11023244668104,5039.0,11741.0,5121.0,0.0,5.0,6108.0,9407.0,0,0,136.0,0.0
12,2023-01-01 19:00:00,38241.0,10447979000.0,273.2140634397636,4833.0,12042.0,5120.0,0.0,5.0,6356.0,9701.0,0,0,184.0,0.0
13,2023-01-01 20:00:00,38584.0,11387008000.0,295.122537839519,5247.0,13326.0,5120.0,0.0,4.0,6433.0,8283.0,0,0,171.0,0.0
14,2023-01-01 21:00:00,38847.0,11882816000.0,305.88761036888303,5448.0,14025.0,5120.0,0.0,4.0,6460.0,7610.0,0,0,180.0,0.0
15,2023-01-01 22:00:00,39563.0,12229733000.0,309.1204660920557,5405.0,15066.0,5119.0,0.0,32.0,5357.0,8446.0,0,0,138.0,0.0
16,2023-01-01 23:00:00,39775.0,13402202000.0,336.9503959773727,6133.0,16267.0,5120.0,0.0,32.0,2610.0,9374.0,0,0,239.0,0.0
17,2023-01-02 00:00:00,40295.0,14150419000.0,351.1705918848492,6692.0,17014.0,5119.0,0.0,5.0,323.0,10982.0,0,0,160.0,0.0
18,2023-01-02 01:00:00,41792.0,12235841000.0,292.7795032542113,5751.0,14682.0,5119.0,0.0,6.0,0.0,16139.0,0,0,95.0,0.0
19,2023-01-02 02:00:00,41493.0,9767282000.0,235.39589810329454,4593.0,11341.0,5119.0,0.0,5.0,0.0,20224.0,0,0,211.0,0.0
20,2023-01-02 03:00:00,41315.0,9028571000.0,218.53009802735085,4414.0,10090.0,5119.0,0.0,4.0,0.0,21557.0,0,0,131.0,0.0
21,2023-01-02 04:00:00,40514.0,8334110000.0,205.7093844103273,4506.0,8214.0,5118.0,0.0,4.0,0.0,22518.0,0,0,154.0,0.0
22,2023-01-02 05:00:00,39645.0,7256840000.0,183.0455290705007,4268.0,6201.0,5119.0,0.0,4.0,0.0,23886.0,0,0,167.0,0.0
23,2023-01-02 06:00:00,38166.0,6473248000.0,169.60771367185453,3759.0,5590.0,5119.0,0.0,4.0,0.0,23564.0,0,0,130.0,0.0
24,2023-01-02 07:00:00,36854.0,6206526000.0,168.40847669181093,3581.0,5399.0,5119.0,0.0,21.0,0.0,22604.0,0,0,130.0,0.0
25,2023-01-02 08:00:00,35977.0,6090268000.0,169.28226366845485,3489.0,5394.0,5118.0,0.0,5.0,0.0,21872.0,0,0,99.0,0.0
26,2023-01-02 09:00:00,35511.0,6058654000.0,170.6134437216637,3458.0,5392.0,5119.0,0.0,4.0,0.0,21430.0,0,0,108.0,0.0
27,2023-01-02 10:00:00,34974.0,6082561000.0,173.91665237033226,3459.0,5434.0,5119.0,0.0,4.0,0.0,20827.0,0,0,131.0,0.0
28,2023-01-02 11:00:00,35001.0,6143272000.0,175.517042370218,3460.0,5549.0,5119.0,0.0,5.0,0.0,20714.0,0,0,154.0,0.0
29,2023-01-02 12:00:00,35335.0,6241005000.0,176.62388566577047,3467.0,5776.0,5119.0,0.0,4.0,0.0,20831.0,0,0,138.0,0.0
30,2023-01-02 13:00:00,36998.0,6473090000.0,174.95783555867885,3468.0,6253.0,5118.0,0.0,23.0,0.0,21972.0,0,0,164.0,0.0
31,2023-01-02 14:00:00,38343.0,7143829000.0,186.31377304853558,3645.0,7322.0,5119.0,0.0,24.0,10.0,21985.0,0,0,238.0,0.0
32,2023-01-02 15:00:00,39174.0,8582345000.0,219.08268239138204,4335.0,9105.0,5118.0,0.0,24.0,667.0,19702.0,0,0,223.0,0.0
33,2023-01-02 16:00:00,40854.0,9395638000.0,229.98085866744995,4612.0,10230.0,5118.0,0.0,24.0,3227.0,17475.0,0,0,168.0,0.0
34,2023-01-02 17:00:00,41939.0,9860588000.0,235.11738477312286,4862.0,10623.0,5118.0,0.0,6.0,4736.0,16430.0,0,0,164.0,0.0
35,2023-01-02 18:00:00,42946.0,9843736000.0,229.21194057653798,4905.0,10436.0,5117.0,0.0,4.0,5255.0,17081.0,0,0,148.0,0.0
36,2023-01-02 19:00:00,43847.0,9120977000.0,208.01826806851096,4572.0,9422.0,5117.0,0.0,8.0,5275.0,19276.0,0,0,177.0,0.0
37,2023-01-02 20:00:00,44690.0,9338109000.0,208.9529872454688,4482.0,10179.0,5117.0,0.0,8.0,5348.0,19429.0,0,0,127.0,0.0
38,2023-01-02 21:00:00,44823.0,9441134000.0,210.63146152644848,4564.0,10237.0,5117.0,0.0,8.0,4882.0,19862.0,0,0,153.0,0.0
39,2023-01-02 22:00:00,45259.0,9871384000.0,218.1087518504607,4985.0,10390.0,5117.0,0.0,36.0,3995.0,20621.0,0,0,115.0,0.0
40,2023-01-02 23:00:00,45401.0,10006911000.0,220.41168696724742,5131.0,10431.0,5116.0,0.0,43.0,2640.0,21887.0,0,0,153.0,0.0
41,2023-01-03 00:00:00,46230.0,10819714000.0,234.04096906770496,5490.0,11639.0,5116.0,0.0,8.0,531.0,23257.0,0,0,189.0,0.0
42,2023-01-03 01:00:00,46767.0,12553702000.0,268.43077383625206,6842.0,12517.0,5116.0,0.0,14.0,1.0,21951.0,0,0,326.0,0.0
43,2023-01-03 02:00:00,45694.0,12609257000.0,275.9499496651639,6941.0,12584.0,5116.0,0.0,20.0,1.0,20822.0,0,0,210.0,0.0
44,2023-01-03 03:00:00,44489.0,12052815000.0,270.91674346467664,6533.0,12307.0,5116.0,0.0,21.0,1.0,20366.0,0,0,145.0,0.0
45,2023-01-03 04:00:00,43287.0,11406929000.0,263.51858525654353,6140.0,11720.0,5116.0,0.0,19.0,1.0,20158.0,0,0,133.0,0.0
46,2023-01-03 05:00:00,41435.0,9814799000.0,236.87218535054905,5290.0,9887.0,5116.0,0.0,9.0,1.0,20958.0,0,0,174.0,0.0
47,2023-01-03 06:00:00,39092.0,8042903000.0,205.74293973191445,4437.0,7731.0,5116.0,0.0,4.0,1.0,21662.0,0,0,141.0,0.0
48,2023-01-03 07:00:00,37068.0,6936624000.0,187.13240530916153,4047.0,6062.0,5116.0,0.0,8.0,1.0,21707.0,0,0,127.0,0.0
49,2023-01-03 08:00:00,35535.0,6375519000.0,179.41519628535247,3781.0,5384.0,5116.0,0.0,11.0,1.0,21120.0,0,0,122.0,0.0
50,2023-01-03 09:00:00,34736.0,6230474000.0,179.36647858129894,3627.0,5407.0,5117.0,0.0,4.0,1.0,20451.0,0,0,129.0,0.0
51,2023-01-03 10:00:00,34449.0,6187414000.0,179.6108450172719,3509.0,5615.0,5118.0,0.0,4.0,1.0,20099.0,0,0,103.0,0.0
52,2023-01-03 11:00:00,34721.0,6597948000.0,190.02759137121626,3575.0,6379.0,5118.0,0.0,4.0,1.0,19493.0,0,0,151.0,0.0
