group,run_id,case_id,year,pue,load_multiplier,reactor_scenario,bess_applied,carbon_price_usd_per_tco2,wacc_effective,crf_effective,smr_capex_usd_per_kWe,absorption_capex_usd_per_kWth,smr_capex_tag,absorption_capex_tag,tac_usd_per_yr,tac_case0_baseline_usd_per_yr,heat_recovery_premium,lcoe_usd_per_mwh_e,lcoc_usd_per_mwh_c,co2_annual_tonnes,co2_per_mwh_kg,epbt_years,water_total_l_per_mwh_e,water_direct_site_l_per_mwh_e,water_indirect_generation_l_per_mwh_e,water_scarcity_m3_world_eq_per_mwh_e,solve_seconds,it_energy_annual_MWh,cool_energy_annual_MWh,capex_annual_usd,fom_annual_usd,vom_annual_usd,carbon_annual_usd,grid_annual_usd,fuel_annual_usd,co2_direct_annual_tonnes,co2_lifecycle_annual_tonnes,ngcc_capacity_MWe,delivered_fuel_usd_per_mmbtu,co2_rx_lifecycle_tonnes,co2_grid_import_tonnes,co2_export_credit_tonnes,ptc_annual_usd,Q_abs_cool_annual_MWh,Q_to_abs_annual_MWh,P_grid_buy_annual_MWh,P_grid_sell_annual_MWh,co2_case0_baseline_tonnes
s3_battery,case1_bess_on,1,2023,1.35,1.0,ATB_Mid,True,0.0,0.067,0.0922,,,,,114125586.7692769,75869050.00119022,-0.5042443099984318,137.55581545666573,,-344025.4091809084,-414.6545664064215,0.5583906813630124,6919.332898097883,111.11111111111113,6808.221786986772,4.497566383763624,12.903,829667.48,921852.7555555556,157810285.62424222,35275000.0,8127576.482495771,-0.0,-65980911.06338457,21759300.0,,,,,26110.750925160002,24187.46352491454,394323.62363098294,-42865664.27407654,0.0,0.0,85763.80337902167,1170750.9767126942,362584.6742873656
s1_pue,case2_pue150,2,2023,1.5,1.0,ATB_Mid,False,0.0,0.067,0.0922,,,,,123280686.45836031,75869050.00119022,-0.6249140651744858,148.59047682375152,,-366535.7355178656,-441.78631120731126,0.5915432620578801,6638.948044117278,191.2019930137899,6447.746051103488,4.315316228676231,14.087,829667.48,921852.7555555556,162239956.27253884,37150000.0,7569690.907357501,-0.0,-64974969.16478386,21759300.0,,,,,24647.39425697897,26617.91576177649,417801.0455366211,-40463291.55675217,800587.9537249772,677479.9389725394,93277.0658486613,1245282.1948678575,362584.6742873656
s2_price,case2_year2022,2,2022,1.35,1.0,ATB_Mid,False,0.0,0.067,0.0922,,,,,106185342.32236822,85125488.37185383,-0.24739774600197995,127.98542172867644,,-392604.58040242887,-473.20714607547217,0.5863363856599089,6667.078689348594,178.81702144896246,6488.261667899631,4.3336011480765855,14.32,829667.48,921852.7555555555,162239956.27253884,37150000.0,7645910.234357034,-0.0,-81787204.1553428,21759300.0,,,,,24866.271915890953,24117.592728112522,441588.4450464324,-40822620.02918486,676787.8555555554,576147.6894765898,84323.11177697091,1243945.5499250658,381238.4365264991
main_baseline,case2,2,2023,1.35,1.0,ATB_Mid,False,0.0,0.067,0.0922,,,,,122594195.72701055,75869050.00119022,-0.6158657018255445,147.76304806717332,,-359613.1867216097,-433.4425482382528,0.5727502841696037,6785.866475226896,146.2796068527759,6639.58686837412,4.4108132088974825,14.542,829667.48,921852.7555555556,162239956.27253884,37150000.0,7850473.656540276,-0.0,-64614568.50087627,21759300.0,,,,,25456.120063106853,24207.41317929641,409276.7199640129,-41790965.70119229,351544.0631009371,303069.84354304953,84814.94739490368,1220247.2747023685,362584.6742873656
s2_price,case2_year2023,2,2023,1.35,1.0,ATB_Mid,False,0.0,0.067,0.0922,,,,,122594195.72701055,75869050.00119022,-0.6158657018255445,147.76304806717332,,-359613.1867216097,-433.4425482382528,0.5727502841696037,6785.866475226896,146.2796068527759,6639.58686837412,4.4108132088974825,14.42,829667.48,921852.7555555556,162239956.27253884,37150000.0,7850473.656540276,-0.0,-64614568.50087627,21759300.0,,,,,25456.120063106853,24207.41317929641,409276.7199640129,-41790965.70119229,351544.0631009371,303069.84354304953,84814.94739490368,1220247.2747023685,362584.6742873656
s2_price,case2_year2024,2,2024,1.35,1.0,ATB_Mid,False,0.0,0.067,0.0922,,,,,153883300.30566886,36455674.63481261,-3.2211069153750103,185.4758731843616,,-341811.39214301266,-411.9860069036485,0.5695691041426699,6822.010405424003,138.75549173828853,6683.254913685714,4.434306763525602,14.725,829667.48,921852.7555555556,162239956.27253884,37150000.0,7899463.496618437,-0.0,-33141041.19755527,21759300.0,,,,,25598.298597930785,24586.040261778453,391995.7310027218,-42024378.26593315,276333.05555555556,237246.44779130313,89135.72244593427,1216857.5458373711,349827.061267586
s1_pue,case2_pue130,2,2023,1.3,1.0,ATB_Mid,False,0.0,0.067,0.0922,,,,,122068938.58583719,75869050.00119022,-0.6089424947843975,147.12995450398657,,-361981.5776549055,-436.2971749295338,0.5662893362809029,6839.643530898907,130.43664406523894,6709.206886833667,4.44576829508429,15.357,829667.48,921852.7555555556,162239956.27253884,37150000.0,7951020.697794368,-0.0,-64763568.27553093,21759300.0,,,,,25746.55580794429,23462.348744711664,411190.48220756144,-42267770.1089651,193177.90633383355,168608.85056296503,82199.38350919678,1226919.353775644,362584.6742873656
s1_pue,case2_pue110,2,2023,1.1,1.0,ATB_Mid,False,0.0,0.067,0.0922,,,,,114361665.70372762,75869050.00119022,-0.5073559732451315,137.84036190466043,,-404192.98256481765,-487.1746721527734,0.5583906813630124,6894.272514705172,111.11111111111113,6783.161403594061,4.481277134558362,16.721,829667.48,921852.7555555556,162239956.27253884,37150000.0,8076562.064282004,-0.0,-71998488.35901669,21759300.0,,,,,26110.750925160002,20306.78172763201,450610.5152176097,-42865664.27407654,0.0,0.0,71121.7011696808,1344500.4666585727,362584.6742873656
s4_capex,case1_FOAK,1,2023,1.35,1.0,FOAK,False,0.0,0.067,0.0922,,,,,251887500.10549456,75869050.00119022,-2.320029710422669,303.6005462158099,,-343631.50826446357,-414.17979678372296,0.5583906813630124,6917.708903509777,111.11111111111113,6806.597792398666,4.4965107872813554,9.599,829667.48,921852.7555555556,290736773.82310236,33950000.0,8076562.064282004,-0.0,-59769471.507813305,21759300.0,,,,,26110.750925160002,24207.41317929641,393949.67236891994,-42865664.27407654,0.0,0.0,84814.94739490368,1178093.1534329941,362584.6742873656
s4_capex,case1_NOAK,1,2023,1.35,1.0,NOAK,False,0.0,0.067,0.0922,,,,,8480176.06920676,75869050.00119022,0.8882261466424883,10.221174474871258,,-343631.50826446357,-414.17979678372296,0.5583906813630124,6917.708903509777,111.11111111111113,6806.597792398666,4.4965107872813554,9.739,829667.48,921852.7555555556,47329449.7868146,33950000.0,8076562.064282004,-0.0,-59769471.507813305,21759300.0,,,,,26110.750925160002,24207.41317929641,393949.67236891994,-42865664.27407654,0.0,0.0,84814.94739490368,1178093.1534329941,362584.6742873656
