case,sizing,TAC_usd_per_yr,capex_annual_usd,grid_revenue_usd_per_yr,grid_annual_cost_usd_per_yr,net_export_MWh,grid_buy_MWh,grid_sell_MWh,HRP
0,original,64315707.27384374,2766000.0,-60451429.36051041,60451429.36051041,0.0,916091.1758333333,0.0,0.0
1,original,203145171.4425943,192333810.0,72645692.44273984,-72645692.44273984,1260980.8161666668,675599.5740416665,1936580.3902083333,-2.1585623489708627
2,original,207348696.14535132,198787810.0,76649060.13155058,-76649060.13155058,1323577.2155112524,655937.76903968,1979514.9845509324,-2.2239200178970435
0,load_matched,64315707.27384374,2766000.0,-60451429.36051041,60451429.36051041,0.0,916091.1758333333,0.0,0.0
1,load_matched,117678159.39684433,75630958.78779024,-9292341.248622293,9292341.248622293,-79281.06036513299,1330608.6263978537,1251327.5660327207,-0.8296954878501712
2,load_matched,121881684.0996014,82084958.78779024,-5288973.559811284,5288973.559811284,-16684.66102054785,1314921.010007562,1298236.3489870143,-0.8950531567763524
