hour,time,temperature_2m,dew_point_2m,relative_humidity_2m,wet_bulb_C
113,2024-01-05 17:00:00,16.9,8.1,56,11.751760938717098
114,2024-01-05 18:00:00,15.6,7.8,60,11.055907752352375
115,2024-01-05 19:00:00,12.4,6.7,68,8.995344988123323
116,2024-01-05 20:00:00,11.2,5.3,67,7.786464761273692
117,2024-01-05 21:00:00,9.4,5.7,78,7.16090043035388
118,2024-01-05 22:00:00,9.4,5.7,78,7.16090043035388
119,2024-01-05 23:00:00,8.6,5.7,81,6.678712831166685
120,2024-01-06 00:00:00,8.1,5.5,84,6.4779283457586665
121,2024-01-06 01:00:00,6.8,5.2,90,5.767685893874678
122,2024-01-06 02:00:00,6.3,4.9,91,5.367222975112675
123,2024-01-06 03:00:00,6.2,4.9,92,5.360694713913622
124,2024-01-06 04:00:00,6.7,5.1,90,5.66918416750957
125,2024-01-06 05:00:00,6.7,4.7,87,5.392534444883282
126,2024-01-06 06:00:00,5.9,4.0,87,4.6102422846033875
127,2024-01-06 07:00:00,5.8,3.8,87,4.512455653180226
128,2024-01-06 08:00:00,4.4,3.7,95,3.8461762355623996
129,2024-01-06 09:00:00,5.8,4.8,93,5.05652657258638
130,2024-01-06 10:00:00,8.8,6.4,85,7.253186599754933
131,2024-01-06 11:00:00,11.4,6.9,74,8.667838344255546
132,2024-01-06 12:00:00,13.2,6.7,64,9.317087117425242
133,2024-01-06 13:00:00,14.6,6.7,59,10.047833513304901
134,2024-01-06 14:00:00,15.6,6.6,55,10.488947333540938
135,2024-01-06 15:00:00,16.1,6.7,54,10.81302003875641
136,2024-01-06 16:00:00,16.4,6.7,53,10.958437331723886
137,2024-01-06 17:00:00,16.1,6.5,53,10.6967897093195
138,2024-01-06 18:00:00,14.6,8.2,66,10.81284912527462
139,2024-01-06 19:00:00,11.4,7.0,74,8.667838344255546
140,2024-01-06 20:00:00,11.8,6.8,72,8.84285586273089
141,2024-01-06 21:00:00,10.6,6.8,77,8.207807624441738
142,2024-01-06 22:00:00,9.6,6.6,82,7.738526079421018
143,2024-01-06 23:00:00,9.2,5.8,79,7.065127365964543
144,2024-01-07 00:00:00,8.8,5.2,79,6.682166371963206
145,2024-01-07 01:00:00,8.1,5.2,82,6.290541629356799
146,2024-01-07 02:00:00,7.1,5.2,87,5.783679939158848
147,2024-01-07 03:00:00,6.2,4.8,90,5.176675202602004
148,2024-01-07 04:00:00,6.2,4.6,89,5.0852558069636125
149,2024-01-07 05:00:00,5.9,4.2,88,4.70014727013946
150,2024-01-07 06:00:00,5.2,3.7,90,4.191655579390677
151,2024-01-07 07:00:00,4.7,3.3,91,3.7874680883662677
152,2024-01-07 08:00:00,4.9,4.1,95,4.344367564694474
153,2024-01-07 09:00:00,5.9,4.8,92,5.063801357983811
154,2024-01-07 10:00:00,8.9,6.6,85,7.350480598623012
155,2024-01-07 11:00:00,11.6,7.4,75,8.957408705680805
156,2024-01-07 12:00:00,13.6,6.6,63,9.576201316196236
157,2024-01-07 13:00:00,14.9,5.8,54,9.761653840227204
158,2024-01-07 14:00:00,15.4,4.9,49,9.629704260708596
159,2024-01-07 15:00:00,15.5,5.3,51,9.944993665529953
160,2024-01-07 16:00:00,15.2,5.3,52,9.7989501708727
161,2024-01-07 17:00:00,14.1,4.7,53,8.952457937263215
162,2024-01-07 18:00:00,12.6,5.8,63,8.667146344487794
163,2024-01-07 19:00:00,11.4,7.0,75,8.76814341741277
164,2024-01-07 20:00:00,10.6,7.0,78,8.306526727994935
165,2024-01-07 21:00:00,10.6,7.1,78,8.306526727994935
166,2024-01-07 22:00:00,11.4,7.3,76,8.86864853015006
167,2024-01-07 23:00:00,11.9,7.7,75,9.241306407448443
168,2024-01-08 00:00:00,12.3,8.4,77,9.826099602843712
169,2024-01-08 01:00:00,13.2,9.1,76,10.577115481397941
170,2024-01-08 02:00:00,13.9,9.9,77,11.349190512013568
171,2024-01-08 03:00:00,14.1,10.6,79,11.75636353016505
172,2024-01-08 04:00:00,15.1,10.9,76,12.380487367456933
173,2024-01-08 05:00:00,16.2,11.4,73,13.082375990983834
174,2024-01-08 06:00:00,16.5,12.4,77,13.824198855031057
175,2024-01-08 07:00:00,16.3,13.8,85,14.550174324762558
176,2024-01-08 08:00:00,16.0,14.9,93,15.173979222897724
177,2024-01-08 09:00:00,16.8,15.7,94,16.084286623193012
178,2024-01-08 10:00:00,17.6,16.6,94,16.879600313687693
179,2024-01-08 11:00:00,18.4,17.1,92,17.434214199381433
180,2024-01-08 12:00:00,19.1,16.9,87,17.51788574178257
181,2024-01-08 13:00:00,18.6,17.3,92,17.632138680379718
182,2024-01-08 14:00:00,20.8,19.0,89,19.431926213213526
183,2024-01-08 15:00:00,23.1,20.5,85,21.16601521195521
184,2024-01-08 16:00:00,24.2,20.5,80,21.561468781763313
185,2024-01-08 17:00:00,20.5,18.4,87,18.886858942993065
186,2024-01-08 18:00:00,14.2,10.0,76,11.526259806892668
187,2024-01-08 19:00:00,13.1,8.4,73,10.166674579706934
188,2024-01-08 20:00:00,13.4,8.1,70,10.131709847510423
189,2024-01-08 21:00:00,13.7,5.3,57,9.029717490997761
190,2024-01-08 22:00:00,13.8,3.7,51,8.476186683231818
191,2024-01-08 23:00:00,13.1,0.7,43,7.0288913094437415
192,2024-01-09 00:00:00,11.7,1.1,48,6.365321005556158
193,2024-01-09 01:00:00,10.4,3.0,60,6.383057791860031
194,2024-01-09 02:00:00,10.4,1.5,54,5.8189481677435175
195,2024-01-09 03:00:00,9.1,-3.3,41,3.5424437661555768
196,2024-01-09 04:00:00,7.8,-5.9,37,2.158580489694624
197,2024-01-09 05:00:00,7.3,-6.2,37,1.759935549953208
198,2024-01-09 06:00:00,6.2,-6.2,41,1.169271801324049
199,2024-01-09 07:00:00,5.9,-6.2,41,0.9237626047128398
200,2024-01-09 08:00:00,5.7,-5.7,44,0.970986895042433
201,2024-01-09 09:00:00,5.7,-4.8,47,1.1855220948032734
202,2024-01-09 10:00:00,7.1,-3.8,46,2.292848855320477
203,2024-01-09 11:00:00,8.2,-4.2,41,2.8059575802429624
204,2024-01-09 12:00:00,9.3,-3.6,40,3.6182461344299757
205,2024-01-09 13:00:00,10.4,-3.2,39,4.4191683026599335
206,2024-01-09 14:00:00,11.2,-2.8,37,4.8692275961722995
207,2024-01-09 15:00:00,11.7,-2.7,37,5.267833644292452
208,2024-01-09 16:00:00,12.1,-2.4,36,5.4830808982310355
209,2024-01-09 17:00:00,11.9,-2.4,37,5.42727484490036
210,2024-01-09 18:00:00,11.1,-2.3,39,4.9847553437309955
211,2024-01-09 19:00:00,9.5,-3.0,41,3.869766785814699
212,2024-01-09 20:00:00,8.1,-2.0,49,3.3840943972433646
213,2024-01-09 21:00:00,6.5,-1.5,56,2.5591144937107684
214,2024-01-09 22:00:00,5.1,-1.1,64,1.9263028371541635
215,2024-01-09 23:00:00,4.4,-1.0,68,1.5920625554723697
216,2024-01-10 00:00:00,4.1,-0.9,70,1.4677805334034986
217,2024-01-10 01:00:00,3.7,-1.0,72,1.2480737368228763
218,2024-01-10 02:00:00,2.7,-0.6,79,0.8419485607125656
219,2024-01-10 03:00:00,2.5,-0.2,82,0.8846760178921276
220,2024-01-10 04:00:00,2.4,-0.2,83,0.8670098903088643
221,2024-01-10 05:00:00,2.2,-0.8,81,0.5172544003510815
222,2024-01-10 06:00:00,2.1,-1.5,77,0.11620765537464006
223,2024-01-10 07:00:00,2.2,-2.1,73,-0.08557194699609205
224,2024-01-10 08:00:00,2.4,-3.0,67,-0.3293390100735998
225,2024-01-10 09:00:00,4.7,-2.8,59,1.1867927608101088
226,2024-01-10 10:00:00,9.1,-0.4,51,4.415251289860221
227,2024-01-10 11:00:00,13.1,3.8,53,8.080282266972734
228,2024-01-10 12:00:00,16.0,5.1,48,10.025449289888943
229,2024-01-10 13:00:00,17.8,6.4,47,11.43156342969425
230,2024-01-10 14:00:00,18.9,7.4,48,12.49382625445326
231,2024-01-10 15:00:00,19.8,7.6,45,12.852866152761099
232,2024-01-10 16:00:00,20.4,7.1,42,12.93184002576728
233,2024-01-10 17:00:00,19.7,8.5,48,13.174747623875405
234,2024-01-10 18:00:00,18.2,9.6,57,13.02417420374329
235,2024-01-10 19:00:00,16.0,9.9,67,12.213121945527156
236,2024-01-10 20:00:00,14.6,9.6,72,11.468157108166476
237,2024-01-10 21:00:00,13.4,9.9,80,11.19288623990791
238,2024-01-10 22:00:00,12.9,10.4,85,11.24222153832524
239,2024-01-10 23:00:00,12.8,10.8,87,11.357463727750499
240,2024-01-11 00:00:00,12.6,10.9,89,11.374256623620127
241,2024-01-11 01:00:00,12.6,11.0,90,11.480750399147649
242,2024-01-11 02:00:00,12.8,11.2,90,11.677751448354307
243,2024-01-11 03:00:00,12.9,11.4,91,11.883655955038911
244,2024-01-11 04:00:00,12.4,11.4,93,11.603134510318267
245,2024-01-11 05:00:00,11.9,11.1,95,11.31899672483775
246,2024-01-11 06:00:00,11.8,11.1,96,11.32541123697462
247,2024-01-11 07:00:00,12.5,11.9,96,12.024404934617703
248,2024-01-11 08:00:00,14.9,14.0,95,14.308097951210787
249,2024-01-11 09:00:00,15.4,14.8,96,14.920227956576703
250,2024-01-11 10:00:00,17.2,16.4,95,16.59973297856588
251,2024-01-11 11:00:00,17.9,17.1,95,17.29718560910462
252,2024-01-11 12:00:00,20.5,18.2,86,18.76167086405137
253,2024-01-11 13:00:00,22.3,17.8,75,19.082941466541094
254,2024-01-11 14:00:00,23.6,17.0,67,19.221835607528767
255,2024-01-11 15:00:00,23.7,16.6,65,19.03669823180775
256,2024-01-11 16:00:00,23.5,17.6,70,19.540584402969486
257,2024-01-11 17:00:00,22.7,17.6,73,19.195858587731866
258,2024-01-11 18:00:00,21.8,17.4,76,18.739673638292533
259,2024-01-11 19:00:00,19.9,17.5,86,18.176435346765107
260,2024-01-11 20:00:00,20.4,17.6,84,18.41411207522016
261,2024-01-11 21:00:00,20.2,18.1,87,18.593507812581763
262,2024-01-11 22:00:00,20.4,18.4,88,18.91398592019493
263,2024-01-11 23:00:00,19.8,18.1,90,18.572744658605366
264,2024-01-12 00:00:00,19.7,18.0,90,18.474245312751084
265,2024-01-12 01:00:00,19.9,18.4,91,18.794939369318854
266,2024-01-12 02:00:00,20.0,18.6,92,19.017608409664145
267,2024-01-12 03:00:00,20.0,18.8,93,19.141561046209926
268,2024-01-12 04:00:00,20.1,18.9,93,19.240750297522283
269,2024-01-12 05:00:00,18.9,17.3,90,17.6862499971054
270,2024-01-12 06:00:00,17.7,12.3,71,14.256154886247256
271,2024-01-12 07:00:00,16.3,2.8,40,9.310367016211174
272,2024-01-12 08:00:00,16.6,-0.9,30,8.248603553383118
273,2024-01-12 09:00:00,15.1,-2.2,30,7.115606548403557
274,2024-01-12 10:00:00,14.8,0.4,38,7.856987382301703
275,2024-01-12 11:00:00,11.4,-0.2,44,5.719042186570423
276,2024-01-12 12:00:00,10.1,-1.5,44,4.6361907559706275
277,2024-01-12 13:00:00,9.9,-2.6,41,4.197087322554907
278,2024-01-12 14:00:00,9.7,-3.2,40,3.943529308233348
279,2024-01-12 15:00:00,9.8,-3.2,40,4.024849692249775
280,2024-01-12 16:00:00,10.1,-3.5,39,4.176771389759605
281,2024-01-12 17:00:00,9.9,-3.7,38,3.9240690019471387
282,2024-01-12 18:00:00,9.1,-3.8,40,3.4556035508842093
283,2024-01-12 19:00:00,7.8,-4.8,41,2.4786260670956874
284,2024-01-12 20:00:00,7.6,-4.1,43,2.4739259524845973
285,2024-01-12 21:00:00,6.3,-3.6,49,1.8440005028338904
286,2024-01-12 22:00:00,5.2,-3.1,55,1.33612647650496
287,2024-01-12 23:00:00,4.1,-1.8,66,1.1631113060283695
288,2024-01-13 00:00:00,3.7,-1.6,69,1.0194344472452581
289,2024-01-13 01:00:00,3.7,-1.6,68,0.9442607562363721
290,2024-01-13 02:00:00,3.1,-1.1,74,0.8369722339079422
291,2024-01-13 03:00:00,3.1,-0.9,75,0.9135132591654749
292,2024-01-13 04:00:00,2.8,-1.5,73,0.4787844865480384
293,2024-01-13 05:00:00,2.6,-1.6,74,0.36522459043960787
294,2024-01-13 06:00:00,2.3,-0.8,80,0.5359840917397403
295,2024-01-13 07:00:00,2.4,-0.2,83,0.8670098903088643
296,2024-01-13 08:00:00,1.6,-0.8,84,0.17004054109390143
297,2024-01-13 09:00:00,3.3,-0.3,77,1.258566919496566
298,2024-01-13 10:00:00,7.2,1.6,68,4.183244657380143
299,2024-01-13 11:00:00,10.6,3.5,61,6.658035712440659
300,2024-01-13 12:00:00,13.4,3.7,52,8.236324545355355
301,2024-01-13 13:00:00,15.1,3.5,46,9.030978228740675
302,2024-01-13 14:00:00,16.2,3.5,43,9.596076879914074
303,2024-01-13 15:00:00,16.8,4.1,43,10.092940334947697
304,2024-01-13 16:00:00,16.8,4.7,45,10.340098448450563
305,2024-01-13 17:00:00,16.3,4.8,47,10.16146652925652
306,2024-01-13 18:00:00,15.0,5.7,54,9.849268020037563
307,2024-01-13 19:00:00,13.8,5.6,58,9.225177772058128
308,2024-01-13 20:00:00,13.6,5.7,59,9.152805028917824
309,2024-01-13 21:00:00,12.6,6.3,66,8.974842093281543
310,2024-01-13 22:00:00,11.4,6.9,74,8.667838344255546
311,2024-01-13 23:00:00,10.2,7.5,83,8.416643624308946
312,2024-01-14 00:00:00,10.1,7.8,86,8.61749454709315
313,2024-01-14 01:00:00,10.4,8.3,87,9.010616052440856
314,2024-01-14 02:00:00,9.1,7.7,90,8.033219650884549
315,2024-01-14 03:00:00,10.1,7.9,87,8.717259235029676
316,2024-01-14 04:00:00,8.9,7.8,92,8.032726568732588
317,2024-01-14 05:00:00,7.9,7.0,94,7.236353313534686
318,2024-01-14 06:00:00,7.4,6.7,95,6.835316836008641
319,2024-01-14 07:00:00,5.6,3.1,84,4.051831804671842
320,2024-01-14 08:00:00,4.6,-0.3,71,2.0125339546156855
321,2024-01-14 09:00:00,4.6,-1.7,64,1.470069839593089
322,2024-01-14 10:00:00,5.2,-2.2,59,1.6343356796827209
323,2024-01-14 11:00:00,6.6,-0.9,59,2.8874459420502063
324,2024-01-14 12:00:00,8.6,0.2,56,4.415381140540099
325,2024-01-14 13:00:00,9.1,1.2,58,5.035628714875269
326,2024-01-14 14:00:00,9.4,1.5,58,5.303050803140463
327,2024-01-14 15:00:00,9.3,1.8,59,5.304120123878674
328,2024-01-14 16:00:00,8.9,1.8,61,5.124338883187134
329,2024-01-14 17:00:00,8.2,1.5,63,4.667246864140791
330,2024-01-14 18:00:00,7.7,1.2,64,4.298690719725489
331,2024-01-14 19:00:00,7.1,0.9,65,3.835545470594367
332,2024-01-14 20:00:00,2.8,-1.6,73,0.4787844865480384
333,2024-01-14 21:00:00,2.2,-2.0,74,-0.012174324015518323
334,2024-01-14 22:00:00,1.8,-2.2,75,-0.31675409292432644
335,2024-01-14 23:00:00,1.8,-2.1,76,-0.2433555940108061
336,2024-01-15 00:00:00,1.5,-2.2,77,-0.45497414201551045
337,2024-01-15 01:00:00,1.0,-2.8,76,-1.0027051567598582
338,2024-01-15 02:00:00,1.0,-4.0,69,-1.4876785940975719
339,2024-01-15 03:00:00,0.8,-3.8,71,-1.5391840822510798
340,2024-01-15 04:00:00,1.1,-3.8,70,-1.327119324506203
341,2024-01-15 05:00:00,1.1,-3.2,73,-1.1202298341945327
342,2024-01-15 06:00:00,1.5,-2.5,75,-0.6006629891413429
343,2024-01-15 07:00:00,1.4,-2.0,78,-0.47672789234601787
344,2024-01-15 08:00:00,-0.9,-3.0,85,-2.1844595905299347
345,2024-01-15 09:00:00,-1.1,-2.5,91,-1.9391946359377572
346,2024-01-15 10:00:00,-0.6,-2.6,87,-1.7459445933553344
347,2024-01-15 11:00:00,-0.6,-1.8,92,-1.3689383111269113
348,2024-01-15 12:00:00,0.7,-1.4,86,-0.5514899046114508
349,2024-01-15 13:00:00,0.4,-2.0,84,-0.9945064750316401
350,2024-01-15 14:00:00,0.4,-2.0,84,-0.9945064750316401
351,2024-01-15 15:00:00,1.0,-1.9,81,-0.6380339706186291
352,2024-01-15 16:00:00,0.9,-1.6,84,-0.5092779811877977
353,2024-01-15 17:00:00,1.5,-1.4,82,-0.08066750607949125
354,2024-01-15 18:00:00,1.4,-1.7,80,-0.32810631113949995
355,2024-01-15 19:00:00,1.2,-2.8,75,-0.8845722872846995
356,2024-01-15 20:00:00,-2.8,-6.3,77,-4.548489406033234
357,2024-01-15 21:00:00,-3.2,-7.3,73,-5.164861252136898
358,2024-01-15 22:00:00,-3.5,-8.1,70,-5.61273218396701
359,2024-01-15 23:00:00,-4.2,-8.9,70,-6.2649025823358535
360,2024-01-16 00:00:00,-4.6,-9.2,70,-6.637572918239266
361,2024-01-16 01:00:00,-4.9,-9.9,68,-7.014691130829543
362,2024-01-16 02:00:00,-5.1,-11.6,61,-7.506890863677123
363,2024-01-16 03:00:00,-5.1,-12.8,55,-7.72969123162157
364,2024-01-16 04:00:00,-5.2,-13.5,52,-7.912650625783237
365,2024-01-16 05:00:00,-5.4,-14.2,50,-8.14188582125096
366,2024-01-16 06:00:00,-5.8,-15.4,47,-8.554378563702736
367,2024-01-16 07:00:00,-6.3,-17.0,42,-9.052076990599705
368,2024-01-16 08:00:00,-7.4,-17.5,44,-9.943651898249833
369,2024-01-16 09:00:00,-7.2,-17.2,45,-9.76632067486868
370,2024-01-16 10:00:00,-5.8,-15.9,45,-8.593101068432311
371,2024-01-16 11:00:00,-4.6,-14.7,45,-7.587536313717202
372,2024-01-16 12:00:00,-2.8,-13.7,43,-6.140547263340999
373,2024-01-16 13:00:00,-1.5,-13.3,40,-5.165680563796296
374,2024-01-16 14:00:00,-0.4,-12.9,38,-4.344730694908085
375,2024-01-16 15:00:00,0.4,-12.9,36,-3.780733982396626
376,2024-01-16 16:00:00,0.9,-13.4,34,-3.464847806229851
377,2024-01-16 17:00:00,0.9,-13.9,32,-3.5411263624981855
378,2024-01-16 18:00:00,0.1,-15.1,31,-4.187650830249193
379,2024-01-16 19:00:00,-1.3,-15.6,33,-5.207619002829612
380,2024-01-16 20:00:00,-2.0,-13.6,41,-5.542062476503607
381,2024-01-16 21:00:00,-2.7,-14.1,41,-6.115069517215493
382,2024-01-16 22:00:00,-3.2,-14.2,43,-6.471926459446561
383,2024-01-16 23:00:00,-3.8,-14.1,45,-6.9171843022942126
384,2024-01-17 00:00:00,-4.4,-14.1,47,-7.368498805131394
385,2024-01-17 01:00:00,-4.8,-13.9,49,-7.654270361361373
386,2024-01-17 02:00:00,-5.0,-13.4,52,-7.738980169122065
387,2024-01-17 03:00:00,-5.1,-12.9,54,-7.762910390100637
388,2024-01-17 04:00:00,-5.2,-12.4,57,-7.748605788295826
389,2024-01-17 05:00:00,-5.4,-12.1,59,-7.854062343305973
390,2024-01-17 06:00:00,-5.4,-12.0,60,-7.816358352520296
391,2024-01-17 07:00:00,-5.4,-11.9,60,-7.816358352520296
392,2024-01-17 08:00:00,-6.4,-12.8,61,-8.67988394521603
393,2024-01-17 09:00:00,-5.8,-12.9,57,-8.281313330103377
394,2024-01-17 10:00:00,-3.4,-12.9,48,-6.489405520722603
395,2024-01-17 11:00:00,-0.6,-13.1,38,-4.505321050370866
396,2024-01-17 12:00:00,1.9,-12.2,34,-2.684387569070388
397,2024-01-17 13:00:00,3.4,-6.7,48,-0.7001099716100594
398,2024-01-17 14:00:00,4.8,-3.4,56,1.0563961439178087
399,2024-01-17 15:00:00,6.7,-0.6,60,3.0580525948000554
400,2024-01-17 16:00:00,7.4,0.2,60,3.6871142645283843
401,2024-01-17 17:00:00,8.1,0.9,61,4.402593418066042
402,2024-01-17 18:00:00,7.7,1.8,66,4.471652475406808
403,2024-01-17 19:00:00,6.8,1.9,71,4.0687605194940915
404,2024-01-17 20:00:00,5.2,1.5,77,3.0672911434029224
405,2024-01-17 21:00:00,6.5,2.5,75,4.13110288577508
406,2024-01-17 22:00:00,7.5,3.8,78,5.346983231908428
407,2024-01-17 23:00:00,8.2,4.9,80,6.200508852410582
408,2024-01-18 00:00:00,9.1,6.0,81,7.160071635966707
409,2024-01-18 01:00:00,9.9,7.2,84,8.224707869038408
410,2024-01-18 02:00:00,10.8,8.4,86,9.300282497609256
411,2024-01-18 03:00:00,11.1,9.3,89,9.900279647076388
