alpha_w_MWe_per_MWth,tac_case2_usd_per_yr,tac_case1_usd_per_yr,case2_minus_case1_usd_per_yr,absorption_share
0.08,116346481.11300533,113370159.47922154,2976321.6337837875,0.9185702305126863
0.15,120228033.73117328,113370159.47922154,6857874.251951739,0.7706266471387785
0.2,122594195.72701055,113370159.47922154,9224036.24778901,0.3813451345481727
0.25,124480916.3222772,113370159.47922154,11110756.843055665,0.1595966699592288
