Location,count,mean,std,min,p05,p50,p95,p99,max,year
HB_BUSAVG,8760,64.4095388127854,89.10110798768227,1.55,18.6095,48.08,140.34399999999994,391.9203999999997,2535.74,2022
HB_HOUSTON,8760,69.9202796803653,92.15038300431931,4.64,22.66,50.47,161.91749999999945,409.9084,2523.86,2022
HB_HUBAVG,8760,64.31006506849316,89.32030915832233,1.22,17.2375,47.99,141.43149999999997,394.2502999999999,2539.16,2022
HB_NORTH,8760,64.61004337899543,89.5416275666739,2.37,19.529500000000002,48.18,141.2964999999999,395.7682,2543.82,2022
HB_SOUTH,8760,62.92079794520547,86.81062922740057,-6.22,18.628,47.48,136.6564999999999,377.1221999999998,2529.11,2022
HB_WEST,8760,59.78923515981735,90.9897688122409,-9.23,0.01,46.39,139.3484999999999,393.10189999999994,2559.84,2022
HB_BUSAVG,8760,55.65226255707763,217.25764740698253,0.4,11.149000000000001,22.18,128.77449999999965,756.1967999999968,4193.1,2023
HB_HOUSTON,8760,57.29258675799087,218.40044665968813,1.55,12.33,22.72,135.54649999999947,762.5247999999983,4188.23,2023
HB_HUBAVG,8760,55.941721461187214,217.055889139351,-0.07,10.69,22.57,129.57099999999986,754.265099999997,4191.66,2023
HB_NORTH,8760,55.49703881278539,218.6919296861479,1.1,11.049500000000002,21.48,130.00799999999958,783.1025,4200.0,2023
HB_SOUTH,8760,54.4916700913242,212.35307147586084,-1.32,11.419500000000001,22.525,121.00149999999982,737.4282999999966,4170.97,2023
HB_WEST,8760,56.485423515981736,219.15918508131503,-9.62,2.9285000000000014,23.22,132.3,786.2343999999988,4207.43,2023
HB_BUSAVG,8784,27.683122723132968,60.99257998973612,-2.28,7.304500000000001,19.345,60.68950000000003,154.1282000000002,2221.46,2024
HB_HOUSTON,8784,28.269604963570128,59.667469322745525,-0.02,8.55,19.75,60.59850000000001,152.46400000000003,2215.08,2024
HB_HUBAVG,8784,28.09189093806922,60.859866945012946,-2.85,6.94,19.81,61.51950000000003,157.10180000000003,2221.48,2024
HB_NORTH,8784,27.060974499089255,62.1300822929342,-4.0,6.9415000000000004,18.58,59.54400000000001,153.00510000000008,2224.74,2024
HB_SOUTH,8784,28.09501024590164,57.900727831248055,-2.82,7.4215,19.82,61.54400000000001,155.9491000000001,2209.61,2024
HB_WEST,8784,28.94235883424408,64.6061696608903,-13.3,0.09150000000000034,20.46,68.18700000000001,169.6236000000003,2236.49,2024
